ST250Q02JA,ST250Q03JA,ST250Q05JA,ST006Q03JA,ST008Q03JA,SC183Q02JA,SC183Q04JA,SC184Q01JA,SC184Q02JA,SC184Q03JA,SC184Q04JA,SC184Q05JA,SC184Q06JA,SC184Q07JA,SC215Q01JA,SC217Q04JA,SC217Q05JA,PRIVATESCH,ST250D06JA,ST250D07JA,ST251D08JA,ST251D09JA,ST259Q01JA,ST251Q03JA,ST251Q04JA,ST253Q01JA,ST254Q01JA,ST038Q05NA,ST038Q06NA,ST038Q07NA,ST265Q01JA,ST265Q02JA,ST265Q03JA,ST265Q04JA,ST268Q07JA,ST268Q08JA,ST268Q09JA,ST337Q03JA,ST337Q04JA,ST337Q05JA,ST337Q06JA,ST337Q07JA,ST337Q08JA,ST338Q01JA,ST338Q02JA,ST338Q03JA,ST338Q04JA,ST338Q05JA,ST338Q06JA,ST338Q07JA,ST338Q08JA,ST341Q01JA,ST341Q02JA,ST341Q04JA,ST341Q05JA,SC037Q03TA,SC037Q04TA,SC037Q05NA,SC037Q06NA,SC037Q08TA,SC017Q02NA,SC017Q04NA,SC017Q05NA,SC017Q06NA,SC017Q07NA,SC017Q09JA,SC017Q10JA,SC061Q11HA,SC155Q08HA,SC182Q06WA02,SC182Q07JA02,SC182Q08JA02,SC172Q04JA,SC172Q07JA,SC173Q05JA,SC202Q01JA,SC202Q03JA,SC202Q04JA,SC202Q05JA,SC202Q08JA,SC204Q02JA,SC204Q05JA,SC205Q01JA,SC205Q02JA,SC205Q03JA,SC205Q05JA,SC205Q07JA,SC208Q01JA,SC208Q02JA,SC208Q03JA,SC208Q04JA,SC208Q07JA,SC208Q08JA,SC208Q09JA,SC216Q01JA,SC216Q03JA,SC216Q07JA,SC222Q02JA,SC223Q01JA,SC223Q05JA,SC223Q09JA,SCHLTYPE,SCSUPRTED,FL164Q02HA,FL164Q03HA,FL164Q04HA,FL164Q05HA,FL164Q06HA,FL164Q07HA,FL164Q08HA,FL164Q11HA,FL164Q15HA,FL164Q16HA,FL166Q05HA,FL166Q06HA,FL166Q07HA,FL174Q05JA,FL174Q07JA,FL167Q01HA,FL167Q05HA,FL162Q01HA,FL162Q02HA,FL162Q03HA,FL162Q04HA,FL162Q05HA,FL162Q06HA,FL163Q01HA,FL163Q03HA,FL163Q04HA,FL163Q05HA,FL171Q03JA,FL171Q04JA,FL171Q05JA,FL171Q07JA,FL171Q10JA,FL171Q11JA,FL169Q03HA,FL169Q04HA,FL169Q08JA,FL169Q10JA,PROGN,GRADE,SRESPCUR,SRESPRES,RCORE_PERF,RCO1S_PERF,RS2_TEST,VER_DAT_stu,ISCEDP,MCLSIZE,CLSIZE,VER_DAT,clase_lca,score_rendimiento,prob_clase_0,prob_clase_1,prob_clase_2,prob_clase_3,prob_clase_4,prob_clase_5,prob_clase_6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,5,341.39079999999996,4.884597654915769e-16,1.0848002428555817e-13,7.043305846226256e-147,1.0420397045582756e-17,3.5012107505603057e-13,0.9999999999995453,9.958976430184863e-177
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,8,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,2,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,3,1,2,1,1,1,1,1,1,1,1,5,387.64083333333326,0.08807821707730856,8.066421728590609e-05,1.912546210527651e-76,4.2243832428952936e-16,9.622189386681427e-11,0.9118411186091838,2.0008143104630594e-113
0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,4,4,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,2,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,1,0,0,1,1,1,2,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,0,1,1,1,1,1,1,1,1,1,2,1,0,0,0,1,1,1,2,1,1,1,0,1,1,1,0,0,0,2,0,2,2,2,1,2,1,2,0,0,0,2,0,2,2,0,2,1,1,1,1,0,0,0,1,0,0,0,1,2,1,1,3,1,0,1,1,1,0,1,2,2,0,5,316.79213333333325,0.015242983897968819,1.9396172828937088e-101,1.40279614941061e-159,6.838499736753577e-20,5.4769905627963454e-14,0.9847570161019701,3.559448225187365e-169
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,0,0,1,0,0,0,0,0,2,0,2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,2,2,0,0,0,0,0,1,1,0,0,0,2,2,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,2,2,0,0,1,1,1,0,3,1,1,1,0,1,1,1,0,0,0,0,0,2,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,2,0,1,3,2,0,2,0,0,1,1,1,1,1,4,303.0695333333333,2.4616758089449238e-11,8.285776300183302e-86,1.4767938863415618e-131,2.573725475939572e-13,0.9999999998960618,7.906738429122494e-11,1.9869328466391168e-157
1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,5,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,2,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,2,1,1,0,0,0,1,0,1,0,2,2,1,1,1,2,1,1,1,0,1,1,0,0,2,1,0,0,1,1,2,2,2,3,1,1,1,1,2,1,2,0,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,0,0,0,2,0,0,0,0,1,0,1,3,2,5,1,1,1,1,1,3,3,1,6,414.47280000000006,5.5242164813556945e-40,5.000462080716449e-59,6.374559782020888e-17,6.622969204860411e-71,6.274842911721768e-69,2.9850816187439588e-61,1.0
1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,7,1,1,3,1,0,0,0,0,1,0,0,0,0,0,1,2,0,2,2,0,2,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,3,3,2,2,2,1,2,2,2,0,0,0,3,0,1,3,2,2,3,0,0,0,1,1,1,1,1,2,2,1,1,2,0,1,1,1,0,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,1,1,2,2,1,1,1,3,1,1,2,1,0,1,2,3,1,1,1,2,0,0,1,4,2,5,1,1,1,2,1,3,3,2,6,513.7164999999999,9.42836353210607e-22,3.5885475230492755e-118,4.976557305058906e-13,2.4816809164009228e-115,2.0960603038480314e-112,4.220345234437682e-89,0.9999999999995026
1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,2,0,0,0,4,2,2,3,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,3,2,1,0,0,0,0,1,0,0,0,0,2,2,3,1,0,0,0,0,0,0,1,0,1,1,0,2,2,1,2,2,0,1,1,1,1,2,1,1,1,0,1,1,0,0,0,0,2,0,2,1,1,1,2,1,2,2,1,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,3,2,1,0,0,2,0,1,0,0,0,5,336.2606666666668,0.002325132605648383,2.0060035523269857e-56,6.496795582917038e-179,2.147516992189863e-19,3.334826541757505e-16,0.9976748673943487,1.492032809540322e-188
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,2,0,0,3,0,0,3,0,1,0,0,0,1,1,1,0,0,0,4,0,0,0,1,1,1,0,1,2,1,1,2,0,2,1,1,1,0,2,2,1,1,0,1,1,2,0,0,2,2,0,2,1,2,1,1,1,2,0,0,0,2,1,1,3,2,0,2,1,0,0,0,0,0,2,0,0,1,0,0,0,1,4,0,1,1,1,1,0,1,4,4,0,5,404.9919666666666,0.4059044657244956,9.275878800659952e-104,4.201507612745009e-145,1.3076845769400258e-17,1.9956393466018712e-14,0.5940955342754809,3.3628021525351845e-168
0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,5,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,2,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,1,3,0,0,1,0,0,1,1,0,0,0,3,0,2,1,0,0,0,2,0,0,0,0,1,1,0,1,2,1,1,0,2,1,0,0,3,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2,1,2,0,0,1,1,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,1,1,2,1,1,3,0,0,1,1,1,0,1,5,5,0,5,376.1714333333335,0.021318407764246535,2.1269908098107776e-55,4.0860872001020344e-141,1.4720107032662533e-17,4.247824954032373e-15,0.9786815922357501,6.478340112835707e-151
1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,6,1,0,4,0,0,0,0,1,2,1,1,0,0,0,0,2,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,3,2,3,0,0,0,0,0,1,1,1,0,0,0,0,3,0,0,0,1,1,1,0,2,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,2,2,2,2,2,2,2,2,2,2,0,0,1,2,0,0,0,2,1,1,1,2,3,1,1,2,2,0,0,0,0,0,0,1,0,1,2,1,3,4,0,1,1,1,3,1,0,0,3,0,367.3998000000001,0.9995459012476914,8.125910257703691e-92,1.0320623350785221e-103,5.478940830211734e-16,2.8380116578111942e-12,0.0004540987494722862,7.753920087626855e-128
