ST250D06JA,ST250D07JA,ST251D08JA,ST251D09JA,ST259Q01JA,ST250Q02JA,ST250Q03JA,ST250Q04JA,ST250Q05JA,ST251Q03JA,ST251Q04JA,ST254Q01JA,ST254Q06JA,ST006Q02JA,ST006Q03JA,ST008Q01JA,ST008Q02JA,ST008Q03JA,ST034Q04TA,ST034Q06TA,ST038Q05NA,ST038Q06NA,ST038Q07NA,ST038Q08NA,ST265Q01JA,ST265Q02JA,ST265Q03JA,ST265Q04JA,ST266Q04JA,ST263Q04JA,ST263Q06JA,ST270Q01JA,ST270Q02JA,ST270Q03JA,ST270Q04JA,ST268Q07JA,ST268Q08JA,ST268Q09JA,ST297Q01JA,ST297Q03JA,ST297Q05JA,ST297Q06JA,ST297Q07JA,ST337Q02JA,ST337Q03JA,ST337Q05JA,ST337Q08JA,SC182Q06WA02,SC182Q07JA02,SC182Q08JA02,SC190Q01JA,SC190Q05JA,SC190Q07JA,SC190Q08JA,SC193Q01WA,SC193Q03WA,SC193Q04WA,SC193Q05WA,SC193Q06WA,SC193Q07WA,SC183Q02JA,SC183Q03JA,SC183Q04JA,SC184Q01JA,SC184Q02JA,SC184Q03JA,SC184Q04JA,SC184Q05JA,SC184Q06JA,SC184Q07JA,SC172Q04JA,SC172Q07JA,SC188Q01JA,SC188Q02JA,SC188Q03JA,SC188Q04JA,SC188Q05JA,SC188Q06JA,SC188Q07JA,SC189Q01JA,SC171Q03JA,SC202Q01JA,SC202Q02JA,SC202Q03JA,SC202Q04JA,SC202Q05JA,SC202Q08JA,SC202Q10JA,SC202Q11JA,SC202Q12JA,SC200Q01JA,SC200Q02JA,SC200Q03JA,SC200Q04JA,SC204Q01JA,SC204Q02JA,SC204Q05JA,SC205Q01JA,SC205Q02JA,SC205Q03JA,SC205Q07JA,SC208Q01JA,SC208Q02JA,SC208Q03JA,SC208Q04JA,SC208Q07JA,SC208Q08JA,SC208Q09JA,SC215Q01JA,SC215Q08JA,SC216Q02JA,SC216Q03JA,SC216Q04JA,SC216Q05JA,SC216Q06JA,SC216Q07JA,SC216Q09JA,SC217Q04JA,SC217Q05JA,SC222Q04JA,SC223Q01JA,SC223Q02JA,SC223Q05JA,SC223Q06JA,SC223Q07JA,SC223Q08JA,SC223Q09JA,SC223Q10JA,SCHLTYPE,SCSUPRTED,FL164Q01HA,FL164Q02HA,FL164Q03HA,FL164Q04HA,FL164Q05HA,FL164Q06HA,FL164Q07HA,FL164Q08HA,FL164Q09HA,FL164Q10HA,FL164Q11HA,FL164Q12HA,FL164Q13HA,FL164Q14HA,FL164Q15HA,FL164Q16HA,FL166Q05HA,FL166Q06HA,FL166Q07HA,FL174Q04JA,FL174Q05JA,FL174Q06JA,FL174Q07JA,FL167Q01HA,FL167Q05HA,FL159Q01HA,FL159Q04HA,FL162Q01HA,FL162Q02HA,FL162Q03HA,FL162Q04HA,FL162Q05HA,FL162Q06HA,FL163Q01HA,FL163Q03HA,FL163Q04HA,FL163Q05HA,FL171Q03JA,FL171Q04JA,FL171Q05JA,FL171Q10JA,FL171Q11JA,FL169Q02HA,FL169Q06JA,FL169Q03HA,FL169Q04HA,FL169Q08JA,FL169Q10JA,FL169Q11JA,FL172Q01JA,FL172Q03JA,PROGN,GRADE,SRESPCUR,SRESPRES,RCORE_TEST,RS1_TEST,RS2_TEST,MCORE_ItemSet,MS1_ItemSet,MS1_LEV,MS2_ItemSet,MS2_LEV,VER_DAT_stu,ISCEDP,REPEAT,PRIVATESCH,VER_DAT
6040002,6040002,6040002,6040001,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6040001,-1.0,0.5,0.1429,0,0,0,0,0,0,0,0,0,0,0.0,0,0
6040002,6040001,6040002,6040004,9.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6040002,0.0,0.5,0.6,1,1,1,1,1,0,1,1,1,1,1.0,0,1
6040002,6040001,9999999,9999999,1.0,0.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,0.0,,0.0,0,0,0,1,2,2,2,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,2,2,0,1,2,2,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,,,,,,,,,,0.0,,,,,,,1.0,2.0,1.0,,,,,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,,,,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,6040002,0.0,0.5,0.1429,1,1,1,1,1,0,2,0,0,1,1.0,0,0
6040002,6040002,6040002,6040002,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,1,2,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,2,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,1,1,1,0,1,1,2,2,0,0,1,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,6040002,0.0,1.0,0.1429,0,0,0,2,2,0,3,0,1,1,1.0,0,1
9999999,6040001,6040001,6040001,5.0,,,,,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,2,2,2,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,2,2,1,2,2,0,1,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0.0,,0.0,,0.0,,,,,,,,0.0,,1.0,1.0,,2.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,1.0,2.0,6040002,0.0,1.0,0.3333,2,2,2,0,0,0,1,1,0,1,1.0,0,0
6040002,6040002,6040001,6040002,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1,1,0,1,0,1,0,1,2,2,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,2,2,2,1,0,0,0,0,0,0,3,0,1,0,0,1,2,2,2,0,0,0,1,1,1,1,2,1,1,2,0,2,1,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,6040002,1.0,0.2,0.3333,1,1,1,2,2,0,1,1,0,1,1.0,0,0
6040002,6040002,6040001,6040001,6.0,0.0,0.0,1.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0,0,0,1,2,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,2,1,0.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,6040002,0.0,0.2,0.1429,1,1,1,2,2,0,1,1,0,1,1.0,0,0
6040002,6040002,6040002,6040001,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1,1,0,0,3,3,3,2,2,2,1,0,0,0,0,1,0,1,1,1,3,0,3,2,1,0,2,2,2,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,1,1,1,1,2,2,1,1,0,0,1,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,0,2.0,,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,6040002,0.0,0.5,0.1429,3,0,3,1,1,0,2,2,0,1,1.0,0,0
6040001,6040002,6040001,6040001,4.0,1.0,1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0,1.0,0,0,0,0,2,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,3,0,3,2,0,1,2,2,1,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,1,1,1,0,2,2,1,1,0,1,0,0.0,1.0,3.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,6040001,-1.0,1.0,0.1429,1,1,1,2,3,1,1,1,1,0,0.0,0,1
6040001,6040001,6040002,6040002,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0,1,0,2,2,2,2,2,1,0,0,0,0,0,0,1,1,0,1,1,0,1,3,0,1,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,2,1,2,0,0,1,,,,,,,,,,,,,,,,,,,,,0,,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,,,6040001,-1.0,0.5,0.1429,0,0,1,1,1,2,2,3,1,0,1.0,0,1
