ST250Q02JA,ST250Q03JA,ST250Q05JA,ST006Q02JA,ST006Q03JA,ST008Q01JA,ST008Q02JA,ST008Q03JA,SC183Q02JA,SC183Q04JA,SC184Q01JA,SC184Q02JA,SC184Q03JA,SC184Q04JA,SC184Q05JA,SC184Q06JA,SC184Q07JA,SC215Q01JA,SC217Q04JA,SC217Q05JA,PRIVATESCH,ST250D06JA,ST250D07JA,ST251D08JA,ST251D09JA,ST259Q01JA,ST251Q03JA,ST251Q04JA,ST254Q01JA,ST254Q06JA,ST038Q05NA,ST038Q06NA,ST038Q07NA,ST265Q01JA,ST265Q02JA,ST265Q03JA,ST265Q04JA,ST270Q01JA,ST270Q02JA,ST270Q03JA,ST270Q04JA,ST268Q07JA,ST268Q08JA,ST268Q09JA,ST337Q03JA,ST337Q05JA,ST337Q08JA,SC182Q06WA02,SC182Q07JA02,SC182Q08JA02,SC172Q04JA,SC172Q07JA,SC188Q03JA,SC202Q01JA,SC202Q02JA,SC202Q03JA,SC202Q04JA,SC202Q05JA,SC202Q08JA,SC202Q10JA,SC202Q11JA,SC202Q12JA,SC204Q01JA,SC204Q02JA,SC204Q05JA,SC205Q01JA,SC205Q02JA,SC205Q03JA,SC205Q07JA,SC208Q01JA,SC208Q02JA,SC208Q03JA,SC208Q04JA,SC208Q07JA,SC208Q08JA,SC208Q09JA,SC216Q02JA,SC216Q03JA,SC216Q05JA,SC216Q06JA,SC216Q07JA,SC216Q09JA,SC223Q05JA,SC223Q09JA,SCHLTYPE,SCSUPRTED,FL164Q02HA,FL164Q03HA,FL164Q04HA,FL164Q05HA,FL164Q06HA,FL164Q07HA,FL164Q08HA,FL164Q11HA,FL164Q15HA,FL164Q16HA,FL166Q05HA,FL166Q06HA,FL166Q07HA,FL174Q05JA,FL174Q07JA,FL167Q01HA,FL167Q05HA,FL162Q01HA,FL162Q02HA,FL162Q03HA,FL162Q04HA,FL162Q05HA,FL162Q06HA,FL163Q01HA,FL163Q03HA,FL163Q04HA,FL163Q05HA,FL171Q03JA,FL171Q04JA,FL171Q05JA,FL171Q10JA,FL171Q11JA,FL169Q03HA,FL169Q04HA,FL172Q01JA,PROGN,GRADE,SRESPCUR,SRESPRES,RS1_TEST,MS2_LEV,VER_DAT_stu,VER_DAT,clase_lca,score_rendimiento,prob_clase_0,prob_clase_1,prob_clase_2,prob_clase_3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,341.39079999999996,1.2085808190553684e-16,0.9979376090874168,1.1323566740707703e-77,0.002062390912589333
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,8,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,3,1,2,1,1,1,1,1,387.64083333333326,0.00026923824562508975,0.9997298604732074,4.330982086396988e-46,9.012811682559163e-07
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,1,2,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,2,0,1,2,2,1,2,1,2,0,0,0,2,0,2,2,0,2,1,0,0,1,0,0,0,0,0,0,1,0,1,3,1,0,1,0,0,0,3,316.79213333333325,1.6880391964600948e-05,9.011649928341255e-54,1.4199726357030894e-89,0.9999831196080295
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,0,0,0,0,0,0,0,0,2,0,2,1,1,1,1,0,0,0,1,1,1,0,0,0,2,2,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,2,2,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,2,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,3,2,0,0,0,1,1,3,303.0695333333333,0.010769824079633844,7.2718075858230555e-53,2.3030565879669603e-71,0.9892301759203592
1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,2,0,0,0,4,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,2,2,1,2,2,0,1,2,1,2,1,1,2,1,1,0,1,1,0,0,0,0,2,0,1,1,1,1,2,1,2,2,1,0,0,0,0,1,0,3,0,0,1,1,0,0,0,0,0,0,0,1,1,3,2,1,2,1,0,0,3,336.2606666666668,3.7634033894249697e-06,1.2468143937801758e-07,1.0252137933661024e-64,0.9999961119151648
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,1,0,0,0,0,0,1,1,1,1,2,1,1,2,0,2,1,2,1,1,0,0,1,1,1,0,1,1,2,0,0,2,2,0,2,1,2,1,1,1,2,0,0,0,2,1,1,3,2,0,2,1,0,0,0,0,0,0,0,1,0,2,1,4,0,1,1,1,0,0,3,404.9919666666666,0.0002995120035370385,9.172651180223534e-37,1.0500066826932439e-101,0.9997004879964682
0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,1,0,1,2,1,1,0,2,1,2,0,0,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2,1,2,0,0,1,1,1,1,1,1,2,1,1,1,1,0,0,0,0,0,1,1,0,1,3,0,0,1,1,0,0,3,376.1714333333335,0.0005245030627653834,8.127414290710561e-44,2.7654811460312127e-119,0.9994754969372294
1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,3,1,1,1,1,0,0,0,2,0,0,2,0,2,2,2,0,0,0,0,2,2,0,0,0,3,0,1,1,0,0,0,0,0,3,0,0,0,0,0,1,1,1,1,2,2,1,1,0,0,1,1,1,1,1,0,0,1,2,0,2,0,2,1,1,1,0,0,2,2,1,0,1,2,0,2,2,1,2,0,1,1,0,1,1,0,2,1,0,0,0,0,0,0,1,2,1,3,1,0,0,2,0,0,0,536.6946333333333,0.999950438840195,4.768151009262324e-37,5.886761475402762e-90,4.956115981119267e-05
1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,2,1,1,1,1,1,1,1,0,0,0,1,1,1,3,0,0,0,0,0,0,0,2,0,3,1,0,0,0,1,1,1,0,2,2,1,1,0,1,0,3,1,0,2,1,0,1,1,0,0,2,0,2,0,0,2,2,2,2,0,1,0,1,2,0,1,0,2,1,1,1,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,0,1,1,1,1,1,342.01513333333327,3.4410516912530786e-07,0.99990285106764,4.2431215431847837e-88,9.680482718622227e-05
1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,2,1,2,0,0,1,2,1,1,2,1,0,1,1,0,1,2,0,0,0,1,0,1,1,2,2,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,1,1,3,343.74586666666676,4.1656790783302913e-13,2.6950719096083447e-46,3.997655688584545e-68,0.9999999999995879
