bloque,factor,top_item,carga_max
estudiante,F1_estudiante,ST254Q06JA,0.6466339938881237
estudiante,F2_estudiante,ST268Q08JA,0.8734450552627064
estudiante,F3_estudiante,ST250D07JA,0.8275486623689712
estudiante,F4_estudiante,ST265Q03JA,0.5818503636858842
estudiante,F5_estudiante,ST038Q05NA,0.5526132604249792
estudiante,F6_estudiante,ST297Q06JA,0.5831310630460181
estudiante,F7_estudiante,ST337Q08JA,0.6584572513385268
estudiante,F8_estudiante,ST006Q02JA,0.5200417383909831
estudiante,F9_estudiante,ST263Q04JA,0.8858166637346904
estudiante,F10_estudiante,ST270Q03JA,0.7044097307862907
escuela_b,F1_escuela_b,SC184Q05JA,0.7403024538611628
escuela_b,F2_escuela_b,SC193Q06WA,0.810926393615576
escuela_b,F3_escuela_b,SC188Q05JA,0.6299528134951378
escuela_b,F4_escuela_b,SC190Q05JA,0.5920223378900595
escuela_b,F5_escuela_b,SC182Q08JA02,0.8288657130195289
escuela_b,F6_escuela_b,SC189Q01JA,0.4252269143314041
escuela_c,F1_escuela_c,SCHLTYPE,0.8506028503104512
escuela_c,F2_escuela_c,SC223Q06JA,0.7463515914149446
escuela_c,F3_escuela_c,SC208Q03JA,0.7422132832764516
escuela_c,F4_escuela_c,SC200Q02JA,0.9028498523472744
escuela_c,F5_escuela_c,SC216Q02JA,0.5910009275599256
escuela_c,F6_escuela_c,SC208Q08JA,0.5829851451869529
finanzas,F1_finanzas,FL162Q03HA,0.7953566275300943
finanzas,F2_finanzas,FL164Q05HA,0.6774413779692072
finanzas,F3_finanzas,FL169Q08JA,0.5260785340446944
finanzas,F4_finanzas,FL171Q10JA,0.606805271968631
finanzas,F5_finanzas,FL164Q10HA,0.7688753926802234
finanzas,F6_finanzas,FL166Q06HA,0.7437251011982264
finanzas,F7_finanzas,FL167Q01HA,0.5399768889401662
finanzas,F8_finanzas,FL174Q06JA,0.6463730310517146
otros,F1_otros,ISCEDP,0.9906099948244548
otros,F2_otros,PRIVATESCH,0.8023558873754896
otros,F3_otros,MCORE_ItemSet,1.00219038021525
otros,F4_otros,RCORE_TEST,0.8610496852362541
otros,F5_otros,VER_DAT,0.745818405154754
