item,modelo,discriminacion,dificultad,n_categorias
SC184Q05JA,2PL,4.999993717304821,-0.3323722574609235,2
SC184Q06JA,2PL,4.480060755271375,-0.1968736217708065,2
SC184Q01JA,2PL,3.649370778156131,0.1926150484685049,2
SC184Q02JA,2PL,3.3472890743628216,-0.05789583124478048,2
SC184Q03JA,2PL,3.1489712834643844,-0.08417626022110508,2
SCHLTYPE,GRM,2.9780594001060217,,3
SC184Q04JA,2PL,2.5054428674821403,0.006548124167911179,2
SC202Q04JA,GRM,2.3888796173300118,,5
PRIVATESCH,2PL,2.3594115690653714,1.0486046202918617,2
SC183Q04JA,2PL,2.094292212531434,0.46434968195901144,2
SC202Q03JA,GRM,1.9960924267917286,,5
SC184Q07JA,2PL,1.8968530913972528,-0.2639481212653866,2
SC183Q02JA,2PL,1.8328765197638248,0.3855292723335272,2
FL162Q05HA,GRM,1.7872968759648242,,4
FL163Q03HA,GRM,1.6339975962835027,,4
FL162Q02HA,GRM,1.606131652967006,,4
FL163Q04HA,GRM,1.5999123547187895,,4
FL162Q03HA,GRM,1.57384441740615,,4
FL163Q05HA,GRM,1.5345679877747942,,4
SRESPRES,GRM,1.5149341825866123,,5
SC202Q01JA,GRM,1.505111922892382,,6
FL163Q01HA,GRM,1.4952907351181617,,4
FL162Q04HA,GRM,1.4516987010993088,,4
FL171Q04JA,GRM,1.4474611680008338,,5
FL171Q10JA,GRM,1.446191418572466,,5
ST251Q04JA,GRM,1.441507386194077,,3
SC202Q02JA,GRM,1.4265510799121721,,6
FL162Q01HA,GRM,1.4167386901662076,,4
FL171Q05JA,GRM,1.4167290648867321,,5
SC217Q05JA,2PL,1.3859627219493598,2.550463983593814,2
ST254Q01JA,GRM,1.3676373003451077,,4
ST251Q03JA,GRM,1.357812083638134,,3
ST254Q06JA,GRM,1.2694432905488775,,4
FL164Q05HA,GRM,1.2596164513474066,,3
FL171Q11JA,GRM,1.2399852210651103,,5
SC217Q04JA,2PL,1.2399769413929291,2.417933201601272,2
FL171Q03JA,GRM,1.1908862409610768,,5
