columna,razon_eliminacion
CM033Q01S,missing >40%
DM033Q01R,missing >40%
CM033Q01TT,missing >40%
CM033Q01F,missing >40%
CM033Q01A,missing >40%
CM033Q01V,missing >40%
CM033Q01VS,missing >40%
CM474Q01S,missing >40%
DM474Q01R,missing >40%
CM474Q01TT,missing >40%
CM474Q01F,missing >40%
CM474Q01A,missing >40%
CM474Q01V,missing >40%
CM474Q01VS,missing >40%
DM155Q02C,missing >40%
CM155Q02TT,missing >40%
CM155Q02F,missing >40%
CM155Q02A,missing >40%
CM155Q02V,missing >40%
CM155Q02VS,missing >40%
CM155Q01S,missing >40%
CM155Q01TT,missing >40%
CM155Q01F,missing >40%
CM155Q01A,missing >40%
CM155Q01V,missing >40%
CM155Q01VS,missing >40%
CM155Q04S,missing >40%
DM155Q04RA,missing >40%
DM155Q04RB,missing >40%
DM155Q04RC,missing >40%
DM155Q04RD,missing >40%
CM155Q04TT,missing >40%
CM155Q04F,missing >40%
CM155Q04A,missing >40%
CM155Q04V,missing >40%
CM155Q04VS,missing >40%
CM411Q01S,missing >40%
CM411Q01TT,missing >40%
CM411Q01F,missing >40%
CM411Q01A,missing >40%
CM411Q01V,missing >40%
CM411Q01VS,missing >40%
CM411Q02S,missing >40%
DM411Q02R,missing >40%
CM411Q02TT,missing >40%
CM411Q02F,missing >40%
CM411Q02A,missing >40%
CM411Q02V,missing >40%
CM411Q02VS,missing >40%
CM803Q01S,missing >40%
CM803Q01TT,missing >40%
CM803Q01F,missing >40%
CM803Q01A,missing >40%
CM803Q01V,missing >40%
CM803Q01VS,missing >40%
CM442Q02S,missing >40%
CM442Q02TT,missing >40%
CM442Q02F,missing >40%
CM442Q02A,missing >40%
CM442Q02V,missing >40%
CM442Q02VS,missing >40%
DM462Q01C,missing >40%
CM462Q01TT,missing >40%
CM462Q01F,missing >40%
CM462Q01A,missing >40%
CM462Q01V,missing >40%
CM462Q01VS,missing >40%
CM034Q01S,missing >40%
CM034Q01TT,missing >40%
CM034Q01F,missing >40%
CM034Q01A,missing >40%
CM034Q01V,missing >40%
CM034Q01VS,missing >40%
CM305Q01S,missing >40%
DM305Q01R,missing >40%
CM305Q01TT,missing >40%
CM305Q01F,missing >40%
CM305Q01A,missing >40%
CM305Q01V,missing >40%
CM305Q01VS,missing >40%
CM496Q01S,missing >40%
DM496Q01RA,missing >40%
DM496Q01RB,missing >40%
DM496Q01RC,missing >40%
DM496Q01RD,missing >40%
CM496Q01TT,missing >40%
CM496Q01F,missing >40%
CM496Q01A,missing >40%
CM496Q01V,missing >40%
CM496Q01VS,missing >40%
CM496Q02S,missing >40%
CM496Q02TT,missing >40%
CM496Q02F,missing >40%
CM496Q02A,missing >40%
CM496Q02V,missing >40%
CM496Q02VS,missing >40%
CM423Q01S,missing >40%
DM423Q01R,missing >40%
CM423Q01TT,missing >40%
CM423Q01F,missing >40%
CM423Q01A,missing >40%
CM423Q01V,missing >40%
CM423Q01VS,missing >40%
CM192Q01S,missing >40%
DM192Q01RA,missing >40%
DM192Q01RB,missing >40%
DM192Q01RC,missing >40%
CM192Q01TT,missing >40%
CM192Q01F,missing >40%
CM192Q01A,missing >40%
CM192Q01V,missing >40%
CM192Q01VS,missing >40%
CM603Q01S,missing >40%
DM603Q01RA,missing >40%
DM603Q01RB,missing >40%
DM603Q01RC,missing >40%
CM603Q01TT,missing >40%
CM603Q01F,missing >40%
CM603Q01A,missing >40%
CM603Q01V,missing >40%
CM603Q01VS,missing >40%
CM571Q01S,missing >40%
DM571Q01R,missing >40%
CM571Q01TT,missing >40%
CM571Q01F,missing >40%
CM571Q01A,missing >40%
CM571Q01V,missing >40%
CM571Q01VS,missing >40%
CM564Q01S,missing >40%
DM564Q01R,missing >40%
CM564Q01TT,missing >40%
CM564Q01F,missing >40%
CM564Q01A,missing >40%
CM564Q01V,missing >40%
CM564Q01VS,missing >40%
CM564Q02S,missing >40%
DM564Q02R,missing >40%
CM564Q02TT,missing >40%
CM564Q02F,missing >40%
CM564Q02A,missing >40%
CM564Q02V,missing >40%
CM564Q02VS,missing >40%
CM447Q01S,missing >40%
DM447Q01R,missing >40%
CM447Q01TT,missing >40%
CM447Q01F,missing >40%
CM447Q01A,missing >40%
CM447Q01V,missing >40%
CM447Q01VS,missing >40%
CM273Q01S,missing >40%
DM273Q01RA,missing >40%
DM273Q01RB,missing >40%
DM273Q01RC,missing >40%
DM273Q01RD,missing >40%
CM273Q01TT,missing >40%
CM273Q01F,missing >40%
CM273Q01A,missing >40%
CM273Q01V,missing >40%
CM273Q01VS,missing >40%
CM408Q01S,missing >40%
DM408Q01RA,missing >40%
DM408Q01RB,missing >40%
DM408Q01RC,missing >40%
DM408Q01RD,missing >40%
CM408Q01TT,missing >40%
